2026-03-20 16:27:06.638 [info] Reading sessions from keychain...
2026-03-20 16:27:06.638 [info] Got stored sessions!
2026-03-20 16:27:06.638 [info] Got 1 verified sessions.
2026-03-20 16:27:07.803 [info] Got 1 sessions for ...
2026-03-20 16:27:07.803 [info] Getting sessions for all scopes...
2026-03-20 16:27:07.803 [info] Got 1 sessions for ...
2026-03-20 16:27:07.883 [info] Getting sessions for all scopes...
2026-03-20 16:27:07.883 [info] Got 1 sessions for ...
2026-03-20 16:28:07.813 [info] Getting sessions for all scopes...
2026-03-20 16:28:07.813 [info] Got 1 sessions for ...
2026-03-20 16:28:07.813 [info] Getting sessions for all scopes...
2026-03-20 16:28:07.813 [info] Got 1 sessions for ...
2026-03-20 16:28:50.983 [info] Getting sessions for all scopes...
2026-03-20 16:28:50.983 [info] Got 1 sessions for ...
2026-03-20 16:28:50.983 [info] Getting sessions for all scopes...
2026-03-20 16:28:50.983 [info] Got 1 sessions for ...
2026-03-20 16:29:21.389 [info] Getting sessions for all scopes...
2026-03-20 16:29:21.389 [info] Got 1 sessions for ...
2026-03-20 16:29:21.390 [info] Getting sessions for all scopes...
2026-03-20 16:29:21.390 [info] Got 1 sessions for ...
2026-03-20 16:29:48.236 [info] Getting sessions for all scopes...
2026-03-20 16:29:48.236 [info] Got 1 sessions for ...
2026-03-20 16:29:48.236 [info] Getting sessions for all scopes...
2026-03-20 16:29:48.236 [info] Got 1 sessions for ...
2026-03-20 16:31:12.822 [info] Getting sessions for all scopes...
2026-03-20 16:31:12.822 [info] Got 1 sessions for ...
2026-03-20 16:31:12.823 [info] Getting sessions for all scopes...
2026-03-20 16:31:12.823 [info] Got 1 sessions for ...
2026-03-20 16:31:13.032 [info] Getting sessions for all scopes...
2026-03-20 16:31:13.032 [info] Got 1 sessions for ...
2026-03-20 16:31:13.032 [info] Getting sessions for all scopes...
2026-03-20 16:31:13.032 [info] Got 1 sessions for ...
2026-03-20 16:31:26.601 [info] Getting sessions for all scopes...
2026-03-20 16:31:26.601 [info] Got 1 sessions for ...
2026-03-20 16:31:26.601 [info] Getting sessions for all scopes...
2026-03-20 16:31:26.601 [info] Got 1 sessions for ...
2026-03-20 16:32:38.065 [info] Getting sessions for all scopes...
2026-03-20 16:32:38.065 [info] Got 1 sessions for ...
2026-03-20 16:32:38.066 [info] Getting sessions for all scopes...
2026-03-20 16:32:38.066 [info] Got 1 sessions for ...
2026-03-20 16:32:43.640 [info] Getting sessions for all scopes...
2026-03-20 16:32:43.640 [info] Got 1 sessions for ...
2026-03-20 16:32:43.640 [info] Getting sessions for all scopes...
2026-03-20 16:32:43.640 [info] Got 1 sessions for ...
2026-03-20 16:33:10.168 [info] Getting sessions for all scopes...
2026-03-20 16:33:10.168 [info] Got 1 sessions for ...
2026-03-20 16:33:10.168 [info] Getting sessions for all scopes...
2026-03-20 16:33:10.168 [info] Got 1 sessions for ...
2026-03-20 16:34:14.817 [info] Getting sessions for all scopes...
2026-03-20 16:34:14.817 [info] Got 1 sessions for ...
2026-03-20 16:34:14.817 [info] Getting sessions for all scopes...
2026-03-20 16:34:14.817 [info] Got 1 sessions for ...
2026-03-20 16:34:29.651 [info] Getting sessions for all scopes...
2026-03-20 16:34:29.651 [info] Got 1 sessions for ...
2026-03-20 16:34:29.651 [info] Getting sessions for all scopes...
2026-03-20 16:34:29.651 [info] Got 1 sessions for ...
2026-03-20 16:39:27.260 [info] Getting sessions for all scopes...
2026-03-20 16:39:27.260 [info] Got 1 sessions for ...
2026-03-20 16:39:27.261 [info] Getting sessions for all scopes...
2026-03-20 16:39:27.261 [info] Got 1 sessions for ...
2026-03-20 16:40:01.781 [info] Getting sessions for all scopes...
2026-03-20 16:40:01.781 [info] Got 1 sessions for ...
2026-03-20 16:40:01.781 [info] Getting sessions for all scopes...
2026-03-20 16:40:01.781 [info] Got 1 sessions for ...
2026-03-20 16:40:21.827 [info] Getting sessions for all scopes...
2026-03-20 16:40:21.827 [info] Got 1 sessions for ...
2026-03-20 16:40:21.827 [info] Getting sessions for all scopes...
2026-03-20 16:40:21.827 [info] Got 1 sessions for ...
2026-03-20 16:40:24.372 [info] Getting sessions for all scopes...
2026-03-20 16:40:24.372 [info] Got 1 sessions for ...
2026-03-20 16:40:24.372 [info] Getting sessions for all scopes...
2026-03-20 16:40:24.372 [info] Got 1 sessions for ...
2026-03-20 16:40:26.326 [info] Getting sessions for all scopes...
2026-03-20 16:40:26.326 [info] Got 1 sessions for ...
2026-03-20 16:40:26.326 [info] Getting sessions for all scopes...
2026-03-20 16:40:26.326 [info] Got 1 sessions for ...
2026-03-20 16:40:53.759 [info] Getting sessions for all scopes...
2026-03-20 16:40:53.759 [info] Got 1 sessions for ...
2026-03-20 16:40:53.759 [info] Getting sessions for all scopes...
2026-03-20 16:40:53.759 [info] Got 1 sessions for ...
2026-03-20 16:40:54.542 [info] Getting sessions for all scopes...
2026-03-20 16:40:54.542 [info] Got 1 sessions for ...
2026-03-20 16:40:54.542 [info] Getting sessions for all scopes...
2026-03-20 16:40:54.542 [info] Got 1 sessions for ...
2026-03-20 16:40:55.307 [info] Getting sessions for all scopes...
2026-03-20 16:40:55.307 [info] Got 1 sessions for ...
2026-03-20 16:40:55.307 [info] Getting sessions for all scopes...
2026-03-20 16:40:55.307 [info] Got 1 sessions for ...
2026-03-20 16:42:40.285 [info] Getting sessions for all scopes...
2026-03-20 16:42:40.285 [info] Got 1 sessions for ...
2026-03-20 16:42:40.285 [info] Getting sessions for all scopes...
2026-03-20 16:42:40.285 [info] Got 1 sessions for ...
2026-03-20 16:42:56.739 [info] Getting sessions for all scopes...
2026-03-20 16:42:56.739 [info] Got 1 sessions for ...
2026-03-20 16:42:56.739 [info] Getting sessions for all scopes...
2026-03-20 16:42:56.739 [info] Got 1 sessions for ...
2026-03-20 16:43:56.195 [info] Getting sessions for all scopes...
2026-03-20 16:43:56.195 [info] Got 1 sessions for ...
2026-03-20 16:43:56.195 [info] Getting sessions for all scopes...
2026-03-20 16:43:56.195 [info] Got 1 sessions for ...
2026-03-20 16:44:03.690 [info] Getting sessions for all scopes...
2026-03-20 16:44:03.690 [info] Got 1 sessions for ...
2026-03-20 16:44:03.692 [info] Getting sessions for all scopes...
2026-03-20 16:44:03.692 [info] Got 1 sessions for ...
2026-03-20 16:45:03.255 [info] Getting sessions for all scopes...
2026-03-20 16:45:03.255 [info] Got 1 sessions for ...
2026-03-20 16:45:03.255 [info] Getting sessions for all scopes...
2026-03-20 16:45:03.255 [info] Got 1 sessions for ...
2026-03-20 16:45:35.812 [info] Getting sessions for all scopes...
2026-03-20 16:45:35.812 [info] Got 1 sessions for ...
2026-03-20 16:45:35.813 [info] Getting sessions for all scopes...
2026-03-20 16:45:35.813 [info] Got 1 sessions for ...
2026-03-20 16:45:48.076 [info] Getting sessions for all scopes...
2026-03-20 16:45:48.076 [info] Got 1 sessions for ...
2026-03-20 16:45:48.076 [info] Getting sessions for all scopes...
2026-03-20 16:45:48.076 [info] Got 1 sessions for ...
2026-03-20 16:49:32.031 [info] Getting sessions for all scopes...
2026-03-20 16:49:32.031 [info] Got 1 sessions for ...
2026-03-20 16:49:32.031 [info] Getting sessions for all scopes...
2026-03-20 16:49:32.032 [info] Got 1 sessions for ...
2026-03-20 16:50:32.989 [info] Getting sessions for all scopes...
2026-03-20 16:50:32.989 [info] Got 1 sessions for ...
2026-03-20 16:50:32.989 [info] Getting sessions for all scopes...
2026-03-20 16:50:32.989 [info] Got 1 sessions for ...
2026-03-20 16:51:26.076 [info] Getting sessions for all scopes...
2026-03-20 16:51:26.076 [info] Got 1 sessions for ...
2026-03-20 16:51:26.076 [info] Getting sessions for all scopes...
2026-03-20 16:51:26.076 [info] Got 1 sessions for ...
2026-03-20 17:13:16.921 [info] Getting sessions for all scopes...
2026-03-20 17:13:16.930 [info] Got 1 sessions for ...
2026-03-20 17:13:16.930 [info] Getting sessions for all scopes...
2026-03-20 17:13:16.930 [info] Got 1 sessions for ...
2026-03-20 20:17:10.437 [info] Getting sessions for all scopes...
2026-03-20 20:17:10.437 [info] Got 1 sessions for ...
2026-03-20 20:17:10.437 [info] Getting sessions for all scopes...
2026-03-20 20:17:10.437 [info] Got 1 sessions for ...
2026-03-20 20:17:13.846 [info] Getting sessions for all scopes...
2026-03-20 20:17:13.846 [info] Got 1 sessions for ...
2026-03-20 20:17:13.846 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 20:17:13.846 [info] Got 1 sessions for read:user,repo,user:email,workflow...
