2026-03-13 17:36:57.406 [info] Reading sessions from keychain...
2026-03-13 17:36:57.406 [info] Got stored sessions!
2026-03-13 17:36:57.406 [info] Got 1 verified sessions.
2026-03-13 17:36:58.076 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.076 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.136 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.136 [info] Got 1 sessions for ...
2026-03-13 17:36:58.136 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.136 [info] Got 1 sessions for ...
2026-03-13 17:36:58.139 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.139 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.325 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.325 [info] Got 1 sessions for ...
2026-03-13 17:36:58.326 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.326 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.346 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.346 [info] Got 1 sessions for ...
2026-03-13 17:36:58.347 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.347 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.355 [info] FetcherService: Electron fetch failed with status: 429 
2026-03-13 17:36:58.356 [info] Unable to resolve optional EDU details. Status: 429 
2026-03-13 17:36:58.435 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.435 [info] Got 1 sessions for ...
2026-03-13 17:36:58.556 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.556 [info] Got 1 sessions for ...
2026-03-13 17:36:58.556 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.556 [info] Got 1 sessions for ...
2026-03-13 17:37:16.672 [info] Getting sessions for all scopes...
2026-03-13 17:37:16.672 [info] Got 1 sessions for ...
2026-03-13 17:37:16.672 [info] Getting sessions for all scopes...
2026-03-13 17:37:16.672 [info] Got 1 sessions for ...
2026-03-13 17:40:13.352 [info] Getting sessions for all scopes...
2026-03-13 17:40:13.352 [info] Got 1 sessions for ...
2026-03-13 17:40:13.352 [info] Getting sessions for all scopes...
2026-03-13 17:40:13.352 [info] Got 1 sessions for ...
2026-03-13 17:40:22.389 [info] Getting sessions for all scopes...
2026-03-13 17:40:22.389 [info] Got 1 sessions for ...
2026-03-13 17:40:22.389 [info] Getting sessions for all scopes...
2026-03-13 17:40:22.389 [info] Got 1 sessions for ...
2026-03-13 17:40:48.207 [info] Getting sessions for all scopes...
2026-03-13 17:40:48.207 [info] Got 1 sessions for ...
2026-03-13 17:40:48.207 [info] Getting sessions for all scopes...
2026-03-13 17:40:48.207 [info] Got 1 sessions for ...
2026-03-13 17:40:49.546 [info] Getting sessions for all scopes...
2026-03-13 17:40:49.546 [info] Got 1 sessions for ...
2026-03-13 17:40:49.547 [info] Getting sessions for all scopes...
2026-03-13 17:40:49.547 [info] Got 1 sessions for ...
2026-03-13 17:43:25.961 [info] Getting sessions for all scopes...
2026-03-13 17:43:25.961 [info] Got 1 sessions for ...
2026-03-13 17:43:25.961 [info] Getting sessions for all scopes...
2026-03-13 17:43:25.961 [info] Got 1 sessions for ...
2026-03-13 17:43:42.203 [info] Getting sessions for all scopes...
2026-03-13 17:43:42.203 [info] Got 1 sessions for ...
2026-03-13 17:43:42.203 [info] Getting sessions for all scopes...
2026-03-13 17:43:42.203 [info] Got 1 sessions for ...
2026-03-13 17:44:08.429 [info] Getting sessions for all scopes...
2026-03-13 17:44:08.429 [info] Got 1 sessions for ...
2026-03-13 17:44:08.429 [info] Getting sessions for all scopes...
2026-03-13 17:44:08.429 [info] Got 1 sessions for ...
2026-03-13 17:44:14.525 [info] Getting sessions for all scopes...
2026-03-13 17:44:14.525 [info] Got 1 sessions for ...
2026-03-13 17:44:14.526 [info] Getting sessions for all scopes...
2026-03-13 17:44:14.526 [info] Got 1 sessions for ...
2026-03-13 17:47:04.337 [info] Getting sessions for all scopes...
2026-03-13 17:47:04.337 [info] Got 1 sessions for ...
2026-03-13 17:47:04.338 [info] Getting sessions for all scopes...
2026-03-13 17:47:04.338 [info] Got 1 sessions for ...
2026-03-13 17:47:19.672 [info] Getting sessions for all scopes...
2026-03-13 17:47:19.672 [info] Got 1 sessions for ...
2026-03-13 17:47:19.672 [info] Getting sessions for all scopes...
2026-03-13 17:47:19.672 [info] Got 1 sessions for ...
2026-03-13 17:47:20.669 [info] Getting sessions for all scopes...
2026-03-13 17:47:20.669 [info] Got 1 sessions for ...
2026-03-13 17:47:20.669 [info] Getting sessions for all scopes...
2026-03-13 17:47:20.669 [info] Got 1 sessions for ...
2026-03-13 17:47:42.319 [info] Getting sessions for all scopes...
2026-03-13 17:47:42.319 [info] Got 1 sessions for ...
2026-03-13 17:47:42.320 [info] Getting sessions for all scopes...
2026-03-13 17:47:42.320 [info] Got 1 sessions for ...
2026-03-13 17:47:51.894 [info] Getting sessions for all scopes...
2026-03-13 17:47:51.894 [info] Got 1 sessions for ...
2026-03-13 17:47:51.895 [info] Getting sessions for all scopes...
2026-03-13 17:47:51.895 [info] Got 1 sessions for ...
2026-03-13 17:47:52.333 [info] Getting sessions for all scopes...
2026-03-13 17:47:52.333 [info] Got 1 sessions for ...
2026-03-13 17:47:52.333 [info] Getting sessions for all scopes...
2026-03-13 17:47:52.333 [info] Got 1 sessions for ...
2026-03-13 17:49:06.627 [info] Getting sessions for all scopes...
2026-03-13 17:49:06.627 [info] Got 1 sessions for ...
2026-03-13 17:49:06.627 [info] Getting sessions for all scopes...
2026-03-13 17:49:06.627 [info] Got 1 sessions for ...
